date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:18	613/613	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-265%22	http://127.0.0.1:8000/static/images/external_logo/logo_youtube.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/external_logo/logo_youtube.svg	(from http://127.0.0.1:8000/home/)
13:10:19	736/736	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-2e0%22	http://127.0.0.1:8000/static/images/external_logo/logo_linkedin.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/external_logo/logo_linkedin.svg	(from http://127.0.0.1:8000/home/)
13:10:20	1758/1758	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-6de%22	http://127.0.0.1:8000/static/images/external_logo/logo_github.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/external_logo/logo_github.svg	(from http://127.0.0.1:8000/home/)
13:10:21	43/43	---M--	200	added ('OK')	text/css	etag:%22652d28c4-2b%22	http://127.0.0.1:8000/static/debug_toolbar/css/print.css	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/debug_toolbar/css/print.css	(from http://127.0.0.1:8000/home/)
13:10:22	11479/11479	---M--	200	added ('OK')	text/css	etag:%22652d28c4-2cd7%22	http://127.0.0.1:8000/static/debug_toolbar/css/toolbar.css	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/debug_toolbar/css/toolbar.css	(from http://127.0.0.1:8000/home/)
13:10:27	11275/11275	---M--	200	added ('OK')	text/javascript	etag:%22652d28c4-2c0b%22	http://127.0.0.1:8000/static/debug_toolbar/js/toolbar.js	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/debug_toolbar/js/toolbar.js	(from http://127.0.0.1:8000/home/)
13:10:28	32078/32078	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/favicons/apple-touch-icon.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/apple-touch-icon.png	(from http://127.0.0.1:8000/home/)
13:10:29	264/264	URF---	200	added ('OK%20(cached)')	application/webmanifest		http://127.0.0.1:8000/static/images/favicons/site.webmanifest	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/site.webmanifest	(from http://127.0.0.1:8000/home/)
13:10:33	470647/470647	---M--	200	added ('OK')	image/png	etag:%22655b782a-72e77%22	http://127.0.0.1:8000/static/images/sponsors/cbs_iscac.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/cbs_iscac.png	(from http://127.0.0.1:8000/home/)
13:10:52	1359914/1359914	---M--	200	added ('OK')	image/png	etag:%22655b782a-14c02a%22	http://127.0.0.1:8000/static/images/speakers/claudia_mendes_silva.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/claudia_mendes_silva.png	(from http://127.0.0.1:8000/home/)
